CK+,num1,JAFFE,num2,KDEF,num3,Radf,num4,FER,num5,raf_db,num6,lambda1,beta,mu,maxiter
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,1.010000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,1.010000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,1.010000,20
0.7816,19,0.5399,2,0.7388,11,0.7512,37,0.7267,18,0.6414,58,100,1.000000,1.030000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,1.030000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,1.030000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,1.030000,20
0.7855,41,0.5258,11,0.7041,41,0.7441,22,0.7194,89,0.6380,155,100,1.000000,1.050000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,1.050000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,1.050000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,1.050000,20
0.7842,87,0.5164,24,0.7082,102,0.7313,43,0.7214,14,0.6388,137,100,1.000000,1.070000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,1.070000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,1.070000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,1.070000,20
0.7914,25,0.5117,8,0.7184,17,0.7484,16,0.7200,91,0.6431,85,100,1.000000,2.000000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,2.000000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,2.000000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,1.000000,2.000000,20
0.7763,116,0.5117,7,0.6918,70,0.7285,3,0.7219,30,0.6349,114,100,10.000000,1.010000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,10.000000,1.010000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,10.000000,1.010000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,10.000000,1.010000,20
0.7783,58,0.5211,6,0.6980,72,0.7370,44,0.7205,70,0.6322,382,100,10.000000,1.030000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,10.000000,1.030000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,10.000000,1.030000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,10.000000,1.030000,20
0.7829,16,0.5211,11,0.6980,38,0.7363,46,0.7197,27,0.6344,100,100,10.000000,1.050000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,10.000000,1.050000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,10.000000,1.050000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,10.000000,1.050000,20
0.7783,21,0.5023,6,0.6898,37,0.7100,30,0.7186,28,0.6332,85,100,10.000000,1.070000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,10.000000,1.070000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,10.000000,1.070000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,10.000000,1.070000,20
0.7789,71,0.5070,18,0.6959,10,0.7434,19,0.7180,12,0.6364,131,100,10.000000,2.000000,5
